bairro,cidade,estado,lat,lng
CENTRO,São Carlos,SP,-22.0220194,-47.8929316
VL BOA VISTA 1,São Carlos,SP,-22.034209,-47.8987459
CID JARDIM,São Carlos,SP,-22.0106925,-47.9018206
PQ ARNOLD SCHIMIDT,São Carlos,SP,,
JD MACARENGO,São Carlos,SP,,
TERRA NOVA,São Carlos,SP,-21.986095,-47.9392609
PQ FABER CASTELL,São Carlos,SP,,
VL CELINA,São Carlos,SP,-21.9940456,-47.8904766
VL BOA VISTA II,São Carlos,SP,-22.0360356,-47.9056663
PQ DOS TIMBURIS,São Carlos,SP,-22.0181795,-47.8595074
RECREIO DOS BANDEIRANTES,São Carlos,SP,-22.02423,-47.9130516
VL PRADO,São Carlos,SP,-22.0284065,-47.8991745
VL COSTA DO SOL,São Carlos,SP,-22.0019397,-47.8835156
JD BANDEIRANTES,São Carlos,SP,,
PQ FABER CASTELL III,São Carlos,SP,,
SWISS PARK RESIDENCIAL,São Carlos,SP,-22.015896,-47.923791
DAMHA I,São Carlos,SP,-21.9642817,-47.9017191
JD SÃO PAULO,São Carlos,SP,-23.7730574,-46.6810964
VL BELA VISTA,São Carlos,SP,-22.0276096,-47.9012334
VL FARIA,São Carlos,SP,-22.0152456,-47.874571
JD SÃO JOÃO BATISTA,São Carlos,SP,,
JD BOTAFOGO 1,São Carlos,SP,,
VL MONTEIRO,São Carlos,SP,-22.0288897,-47.8747011
VL ALPES,São Carlos,SP,-22.0318345,-47.8772312
CENTREVILLE,São Carlos,SP,-22.0229795,-47.8834504
JD SANTA PAULA,São Carlos,SP,-22.3610149,-46.9315456
JD ALVORADA,São Carlos,SP,,
JD MUNIQUE,São Carlos,SP,,
JD JÓCKEI CLUB A,São Carlos,SP,,
RECREIO SÃO JUDAS TADEU,São Carlos,SP,-22.0339499,-47.8662214
PQ FEHR,São Carlos,SP,-21.9796546,-47.936367
VL NERY,São Carlos,SP,-21.9758042,-47.8044373
JD SÃO CARLOS,São Carlos,SP,-23.7730574,-46.6810964
JD DAS TORRES,São Carlos,SP,,
VL SÃO JOSÉ,São Carlos,SP,-22.0025604,-47.8747895
CID ARACY,São Carlos,SP,,
VL MARCELINO,São Carlos,SP,-22.0296504,-47.8827053
ÁGUA VERMELHA,São Carlos,SP,-21.8985118,-47.8503572
PLANALTO PARAÍSO,São Carlos,SP,-22.0072508,-47.9113232
JD NOVA SÃO CARLOS,São Carlos,SP,-22.3610149,-46.9315456
JD CENTENÁRIO,São Carlos,SP,,
JD BETHÂNIA,São Carlos,SP,,
JD RICETTI,São Carlos,SP,,
VL MARINA,São Carlos,SP,-21.9954779,-47.8898178
RES MONSENHOR ROMEU TORTORELLI,São Carlos,SP,,
JD EMBARE,São Carlos,SP,,
VL BRASÍLIA,São Carlos,SP,-21.9991353,-47.8848872
SANTA ANGELINA,São Carlos,SP,-21.9938695,-47.9288792
JD LUTFALLA,São Carlos,SP,,
PQ SANTA FELÍCIA JARDIM,São Carlos,SP,-22.0002251,-47.9169821
JD BRASIL,São Carlos,SP,-23.7730574,-46.6810964
JD PARAÍSO,São Carlos,SP,,
PQ SABARÁ,São Carlos,SP,-22.0124561,-47.860434
MORADA DOS DEUSES,São Carlos,SP,-21.9985662,-47.9140037
VL MONTEIRO GLEBA I,São Carlos,SP,-22.0256119,-47.8872884
VL BOA VISTA,São Carlos,SP,-22.034209,-47.8987459
JD GIBERTONI,São Carlos,SP,,
VL JACOBUCCI,São Carlos,SP,-22.0049604,-47.8715581
PQ FABER CASTELL I,São Carlos,SP,,
VILA MONTEIRO ( GLEBA 1),São Carlos,SP,,
JD TANGARÁ,São Carlos,SP,,
PORTAL DO SOL,São Carlos,SP,-22.0248214,-47.8738926
JD LUTFFALA,São Carlos,SP,,
RES PARATI,São Carlos,SP,,
